date,code,open,high,low,close,change,volume
2026/08/18,2330,2415,2415,2375,2380,-20,19997213
2026/08/18,2368,1020,1110,1010,1070,60,14252588
2026/08/18,2383,6350,6470,6170,6205,-145,2005998
2026/08/18,6770,75,75.7,69.5,69.7,-4.9,226495303
2026/08/18,TX,45967,45977,45070,45085,-782,83392
2026/08/19,2308,1745,1800,1740,1765,-55,12608652
2026/08/19,2330,2340,2355,2335,2350,-30,23618612
2026/08/19,2368,1035,1095,1020,1040,-30,10290635
2026/08/19,2383,5855,6130,5810,5880,-325,3119237
2026/08/19,6770,67.3,69.6,66.5,66.6,-3.1,176388814
2026/08/19,TX,44411,44869,44208,44612,-476,27795
2026/08/20,2308,1770,1785,1705,1745,-20,11014621
2026/08/20,2330,2365,2375,2350,2375,25,16967737
2026/08/20,2368,1070,1100,1000,1025,-15,7768759
2026/08/20,2383,6100,6200,5780,5985,105,2514908
2026/08/20,6770,68.1,69.5,66.2,67.3,0.7,165662077
2026/08/20,TX,44950,45122,44448,44868,368,53693
2026/08/21,2308,1760,1760,1720,1750,5,5768589
2026/08/21,2330,2375,2410,2365,2410,35,18922480
2026/08/21,2368,1015,1025,958,965,-60,7379773
2026/08/21,2383,6005,6015,5650,5680,-305,2568603
2026/08/21,6770,67,68.5,66.5,68.4,1.1,116273055
2026/08/21,TX,44887,45294,44566,45148,245,51446
2026/08/24,2308,1720,1775,1710,1735,-15,4498318
2026/08/24,2330,2410,2410,2375,2375,-35,13073210
2026/08/24,2368,963,1000,946,948,-17,4900373
2026/08/24,2383,5690,5705,5415,5430,-250,1846142
2026/08/24,6770,68.4,72.9,67.6,70.8,2.4,162099266
2026/08/24,TX,45032,45292,44609,44762,-376,43046
2026/08/25,2308,1715,1715,1655,1710,-25,10537455
2026/08/25,2330,2355,2400,2350,2400,25,13538447
2026/08/25,2368,942,974,915,971,23,5331262
2026/08/25,2383,5410,5605,5255,5595,165,1867477
2026/08/25,6770,70.5,71,66.6,69,-1.8,158026446
2026/08/25,TX,44488,45095,44146,45027,287,55218
2026/08/26,2308,1680,1760,1670,1750,40,10798374
2026/08/26,2330,2375,2425,2375,2415,15,19467241
2026/08/26,2368,970,1060,966,1040,69,8709942
2026/08/26,2383,5565,5920,5555,5895,300,1871519
2026/08/26,6770,69.8,71.4,69.2,70.2,1.2,109500620
2026/08/26,TX,45285,46027,44865,46011,979,57745
2026/08/27,2308,1780,1820,1760,1770,20,8876431
2026/08/27,2330,2430,2435,2410,2410,-5,19214481
2026/08/27,2368,1040,1050,1005,1030,-10,6091630
2026/08/27,2383,5960,5960,5355,5500,-395,3476220
2026/08/27,6770,71.3,72.1,69.6,69.6,,118625661
2026/08/27,TX,46175,46517,46006,46078,75,50701
2026/08/28,2308,1800,1870,1780,1830,60,13398406
2026/08/28,2330,2440,2445,2410,2420,10,15025832
2026/08/28,2368,1050,1130,1045,1130,100,10783533
2026/08/28,2383,5480,5620,5425,5490,,1984693
2026/08/28,6770,70.8,73.3,69.9,70,0.4,127516696
2026/08/28,TX,46366,46580,46215,46357,293,41611
2026/08/31,2308,1785,1840,1775,1840,10,8899747
2026/08/31,2330,2395,2405,2375,2405,-15,32792740
2026/08/31,2368,1200,1240,1140,1165,35,20981904
2026/08/31,2383,5300,5500,5300,5485,-5,1999204
2026/08/31,6770,69,73.2,68,73,3,207576800
2026/08/31,TX,45800,46060,45415,45983,-374,53336
2026/09/01,2308,1845,1865,1810,1865,25,8434152
2026/09/01,2330,2395,2440,2390,2440,35,31855287
2026/09/01,2368,1175,1245,1155,1225,60,12953799
2026/09/01,2383,5525,5735,5490,5640,155,1770102
2026/09/01,6770,73.6,73.7,70.4,70.8,-2.2,151879084
2026/09/01,TX,46000,47220,45987,47209,1232,57627
2026/09/02,2308,1815,1815,1730,1730,-135,15977253
2026/09/02,2330,2415,2420,2385,2385,-55,25151394
2026/09/02,2368,1210,1210,1160,1175,-50,6246961
2026/09/02,2383,5600,5670,5445,5445,-195,1489933
2026/09/02,6770,70.1,71.4,69.2,70.4,-0.4,68830476
2026/09/02,TX,46701,46746,46131,46189,-1012,46145
2026/09/03,2308,1735,1810,1725,1760,30,10346094
2026/09/03,2330,2385,2400,2380,2390,5,14252351
2026/09/03,2368,1190,1190,1090,1100,-75,9171589
2026/09/03,2383,5500,5550,5290,5290,-155,1640346
2026/09/03,6770,71.2,72,67.5,67.8,-2.6,115197089
2026/09/03,TX,46169,46472,45714,45837,-328,53082
2026/09/04,2308,1810,1850,1790,1825,65,9195063
2026/09/04,2330,2415,2415,2390,2410,20,14102018
2026/09/04,2368,1140,1145,1030,1045,-55,9549227
